team,post,post_author,post_time,tag,source,Annotations
Betboom,"BetBoom eliminate SAW to reach seventh-place decider in EU RMR A

nafany's side still needs one more series win to secure a spot in the Shanghai Major.

Read more:

#cs #cs2 #hltv",HLTV RSS FEED,2024-11-20 05:01:16.526300+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#BetBoom eliminate #SAW from the Shanghai Major after winning Vertigo 13-9 and Ancient 13-9.

#CS2 #ShanhaiMajor #counterstrike",Mike,2024-11-20 03:54:08.775000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"ğŸ®ğŸ”¥ Vitality (13) vs BetBoom (3)! ğŸ”¥ğŸ®

Winner: Vitality

Event: Perfect World Shanghai Major 2024 Europe RMR A#cs #cs2 #hltv #Vitality #BetBoom","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 02:45:34.477447+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"ğŸ®ğŸ”¥ BetBoom (2) vs Nemiga (0)! ğŸ”¥ğŸ®

Winner: BetBoom

Event: Perfect World Shanghai Major 2024 Europe RMR A#cs #cs2 #hltv #BetBoom #Nemiga","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 02:39:43.978242+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#SAW take on #BetBoom in an elimination BO3.

Map 1 is Vertigo. Map and the decider will be Ancient and Dust II respectively.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-20 02:33:48.475000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"ğŸ®ğŸ”¥ SAW vs BetBoom at Perfect World Shanghai Major 2024 Europe RMR A! ğŸ”¥ğŸ®

ğŸ“… Date: 2024-11-20T03:00:00
â­ Star Rating: âœªâœªâœªâœªâœª#cs #cs2 #hltv #SAW #BetBoom","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 01:40:30.946528+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"inb4 map veto: saw pick nuke, betboom pick anubis, ancient decider ğŸ˜",Cam,2024-11-19 23:54:07.573000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"EU group A 2-2 bracket, sorry heartbreak on the horizon for some hardworking teams. Sinners Vs GamerLegion in particular is the most painful to me, both showed great resilience throughout their matchups so far. SAW in their game Vs BetBoom seems the only clear favorite out of the 3 final matchups",Cam,2024-11-19 20:25:12.918000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
Betboom,"13. Complexity (237 points)
14. Eternal Fire (230 points)
15. GamerLegion (201 points)
16. FURIA (181 points)
17. Monte (151 points)
18. The MongolZ (120 points)
19. Astralis (118 points)
20. 9 Pandas (99 points)
21. Liquid (90 points)
22. BetBoom (88 points)
23. AMKAL (80 points)
24. SAW (79 points","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-19 18:31:45.770356+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
Betboom,"#BetBoom eliminate #Nemiga from the Shanghai Major 2-0 after a 13-8 victory on Mirage.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 06:40:24.306000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#BetBoom take Ancient 13-8 over #Nemiga.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 05:56:57.532000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#BetBoom take on #Nemiga in an elimination BO3.

Map 1 will be Ancient, map 2 will be Mirage, and the decider will be Anubis.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 05:02:03.488000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#Fnatic just barely edge out the win over #BetBoom on Nuke 13-11.

Fnatic improve to 2-1 while BetBoom drop to 1-2 and have elimination looming over them.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 05:56:17.232000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
Betboom,"#Fnatic go head to head with #BetBoom in a BO1 on Nuke.

Both teams currently sit at a 1-1 record.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 05:11:20.049000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"Not looking bad so far, disappointed in GL's loss to Eclot but after messing with the bracket I still think they can go through! BetBoom also looking like a solid bet as well, excited to see how the 1-1 games play out tonight.",Zeke,2024-11-17 22:37:58.832000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
Betboom,"Huge performances from both Mezii and Spinx allow for #Vitality to steamroll over #BetBoom 13-3 on Nuke.

Vitality continue to plow through the competition.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-17 11:15:38.829000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
Betboom,"#BetBoom stomp #UNiTY on Anubis 13-4.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-17 08:45:56.387000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
Betboom,"RMR Shanghai Major ğŸ‡¨ğŸ‡³

Mine predictions for kvalifikationen i Europa gruppe A

ğŸŸï¸Navi
ğŸŸï¸Vitality
ğŸŸï¸Mouz
ğŸŸï¸Faze
ğŸŸï¸SAW
ğŸŸï¸Fnatic
ğŸŸï¸Cloud9

ğŸ«§: Falcons, Betboom, GamerLegion

ğŸ—‘ï¸Nemiga, Sangal, Sinners, Rebels, Eclot, Unity

Hvad er jeres tanker?

#MajorpÃ¥dansk #cspÃ¥dansk",Mikespike,2024-11-16 21:13:19.785000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
Betboom,"Kaixo! Toti MartÃ­nez de Lezearen ia liburu guztiak euskaratuta daudela esango nuke. Azkenekoak, behintzat, bai. Telegramen badago ""Euskal Mediateka"" izeneko talde bat, agian bertan zer edo zer topa dezakezu. Zorte on!",Zirikatzen,2024-11-17 18:48:57.033000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,Kairon; IRSE! - Ujubasajuba,Silver B),2024-11-19 18:04:24.669000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,"choosing just 4 is HARD, man","Joe ""deathburger"" Bosno",2024-11-18 23:40:58.437000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,"@kairon-o-druida.bsky.social eu estou com dor de cabeÃ§a de tanto ler livro de arcanismo, me empresta aquele seu da Tiamat? Vou dar uma â€œestudadaâ€ antes do concerto do Loki",Rapierada da Lys ğŸ‘‘ğŸ’•,2024-11-18 18:01:57.528000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,"Kairon: No lol it's just gonna get messed up again when he goes to bed

Hjek: of course wtf?????",Papa Ray's Pizza Palace,2024-11-17 13:47:35.687000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,It'd be hugs and kisses vs head locks with Kairon lol,Papa Ray's Pizza Palace,2024-11-17 01:46:38.181000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,"I just have 1 guy named after my favourite apple (Fuji) and then 2 people with names I simply like (Kairon, Haruka) and then I got Lulusi who is just lalafelled ""Lucy"" which feels underwhelming but yeah I didn't reallput too much thought behind it ğŸ˜­",YaerisuğŸ³ï¸â€ğŸŒˆ SAM LB survivor ,2024-11-16 22:47:45.807000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,"Hey~ Iâ€™m Kye and I mainly draw my D&D or Vampire the Masquerade OCs! Iâ€™ve been drawing for the last few years and my style is forever evolving! I also like anime and video games!

#Artshare",Kye Buddy â€”âœ¦,2024-11-16 16:14:58.353000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,"Blueskyâ€™s open, quote one art to promote yourself! âœ¨

#Promotesky #Tiefling #Druid #OC #OCSky #Art #DND #ttrpg #DungeonsandDragons",Kye Buddy â€”âœ¦,2024-11-16 05:06:59.288000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,Oh yeah let's share lol,Papa Ray's Pizza Palace,2024-11-16 04:42:22.470000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
Betboom,No shot lol Kairon would fail frame 0,Papa Ray's Pizza Palace,2024-11-15 15:51:38.248000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
Betboom,I'm remembering how to draw #art #ffxiv #kairontumet,Papa Ray's Pizza Palace,2024-11-15 03:48:02.787000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,Will prob. Yap about eu rmr when that finishes so far no silly upsets which sucks BUT rmr b i have faith in you anyway go fnatic go gamerlegion go bb yay!!!!,katseru,2024-11-20 04:46:50.658000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"ğŸ®ğŸ”¥ Falcons (1) vs GamerLegion (2)! ğŸ”¥ğŸ®

Winner: GamerLegion

Event: Perfect World Shanghai Major 2024 Europe RMR A#cs #cs2 #hltv #Falcons #GamerLegion","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 02:38:07.290576+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,"EU group A 2-2 bracket, sorry heartbreak on the horizon for some hardworking teams. Sinners Vs GamerLegion in particular is the most painful to me, both showed great resilience throughout their matchups so far. SAW in their game Vs BetBoom seems the only clear favorite out of the 3 final matchups",Cam,2024-11-19 20:25:12.918000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
GamerLegion,"Falcons (1) vs GamerLegion (2) at Perfect World Shanghai Major 2024 Europe RMR A
FaZe (2) vs fnatic (0) at Perfect World Shanghai Major 2024 Europe RMR A
st4rboys (2) vs Gods Reign (0) at Dust2 India 1xBet Masters 16
Natus Vincere (2) vs SAW (0) at Perfect World Shanghai Major 2024 Europe RMR A","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-19 19:02:33.575198+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,"13. Complexity (237 points)
14. Eternal Fire (230 points)
15. GamerLegion (201 points)
16. FURIA (181 points)
17. Monte (151 points)
18. The MongolZ (120 points)
19. Astralis (118 points)
20. 9 Pandas (99 points)
21. Liquid (90 points)
22. BetBoom (88 points)
23. AMKAL (80 points)
24. SAW (79 points","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-19 18:31:45.770356+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"#GamerLegion eliminate #Falcons from the Shanghai Major 2-1 with a 13-7 victory on Mirage.

A tumultuous tenure for the current Falcons roster. The long rumored NiKo roster change seems in dire need for the team.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 14:13:11.578000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"s1mple got eliminated by GamerLegion from the Shanghai Major RMR! 

â€œDon't worry I will be back stronger, even if I gonna be on bench, I will practice until I lose my pulse to win the majorâ€¦â€",CS2 News,2024-11-19 12:25:47.026000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"s1mple and Falcons knocked out of Shanghai RMR by GamerLegion

Read HERE ğŸ‘‡

blast.tv/cs/news/s1mp...",BLAST.tv,2024-11-19 11:17:35.879000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"#Falcons take Nuke 13-7 over #GamerLegion.

Now we go to Mirage to decide who is eliminated.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 10:11:19.898000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,GamerLegion graÄ‡ kurwa maÄ‡,Jakub Hndrxx,2024-11-19 09:14:22.481000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
GamerLegion,"#GamerLegion take Vertigo 13-6 over #Falcons.

Falcons looked flat. Especially with an underwhelming performance from S1mple.

Can he bounce back or is this where Falconsâ€™ run ends?

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 08:47:33.039000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"#GamerLegion take on #Falcons in an elimination BO3. Both teams are desperate to keep their major aspirations alive.

Map 1 will be Vertigo. Map 2 will be Nuke. And the decider will be Mirage.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 08:11:49.884000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,"EU Group B Qualifiers ongoing for the CS2 Major.

Hoping the 7 teams that qualify are...
Vitality âœ…
MOUZ âœ…
NAVI 
Cloud9
FaZe Clan
GamerLegion
Fnatic",RhawketS,2024-11-19 04:01:37.704000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,CSGO legend s1mple is facing elimination from the Shanghai Major tomorrow after Falcons lost to FaZe & Saw in their last 2 matches. They will need to beat GamerLegion.,CS2 News,2024-11-18 17:37:56.544000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,"With a 13-11 victory on Ancient, #GamerLegion eliminate #UNiTY from the Shanghai Major.

GamerLegion are still in hot water as they cannot lose any more BO3s if they want to make the major.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 13:43:46.848000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,"#GamerLegion take Vertigo 13-7 over #UNiTY.

Now we move to Ancient to see who can keep their major dreams alive.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 12:31:54.229000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
GamerLegion,"#UNiTY take Anubis 13-5 over #GamerLegion.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 12:00:59.404000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
GamerLegion,"Kaixo! Toti MartÃ­nez de Lezearen ia liburu guztiak euskaratuta daudela esango nuke. Azkenekoak, behintzat, bai. Telegramen badago ""Euskal Mediateka"" izeneko talde bat, agian bertan zer edo zer topa dezakezu. Zorte on!",Zirikatzen,2024-11-17 18:48:57.033000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/a
GamerLegion,"GamerLegion choker for fuld skrue pÃ¥ inferno 

0-2 grinden starter for Tauson nuğŸ‡©ğŸ‡°",Mikespike,2024-11-17 10:26:22.883000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
GamerLegion,What a double between Denmark and Mexico. Clara Tauson served it home in third set but what a thriller,krumbygirl,2024-11-17 08:14:14.971000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,"Gruppe A er meget ulige pÃ¥ niveau imo. FÃ¥ virkelig stÃ¦rke hold og en del hold med potentiale for upsets, hvor imod gruppe B er meget Ã¥ben

De danske gutter vi skal holde med er: 

Karrigan, Tauson, Magisk, Dupreeh og BlameF",Mikespike,2024-11-16 21:16:46.768000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
GamerLegion,"Absolutely amazing! ğŸ‘ğŸ‘
Francati/Tauson beat Olmos/Zarazua. Denmark wins 3:2 and is in the Billie Jean King Cup qualies next year. ğŸ™Œ
This is big for womenâ€™s tennis in Denmark. â¤ï¸ğŸ¾ğŸ˜Š
#billiejeankingcup #tennis",Katja,2024-11-16 20:54:32.363000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,Satme stÃ¦rkt Clara Tauson og Emilie FrancatiğŸ”¥ #tennisdk,Kristian L G Nielsen,2024-11-16 19:29:02.688000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,#twanbefaling: Danmarks tennislandshold spiller lige en vanvittig spÃ¦ndende hjemmekamp mod Mexico i Farum Arena. Lige nu pÃ¥ DR2 gÃ¥r Clara Tauson og Emilie Francati pÃ¥ banen i den afgÃ¸rende double: www.dr.dk/drtv/kanal/d...,Martin KrÃ¸ger,2024-11-16 17:17:03.111000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,"Kigger lidt pÃ¥ billeder af tennis som jeg har lavet i Ã¥r.
Her legede jeg lidt med lukkertiden.

Har lige set Tauson tabe ğŸ™‡ 63 uprovokerede fejl. SÃ¥ taber man.",Henrik Wessmann,2024-11-16 14:08:43.806000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,"Clara Tauson has won 15 of the 20 Billie Jean King Cup matches she has played for Denmark. 
Can she lead the Danish team to another victory? ğŸ‡©ğŸ‡°vsğŸ‡²ğŸ‡½
#BillieJeanKingCup",Katja,2024-11-15 15:17:59.275000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
GamerLegion,"I dag starter Billie Jean Cup kampene mod Mexico.

DR viser kampene fra Farum Arena.

HÃ¥ber det bedste for de danske tennisspillere 

tennis.dk/clara-tauson...",Henrik Wessmann,2024-11-15 05:10:31.804000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
ECLOT,"Case (16 points)
77. 500 (16 points)
78. Entropiq (16 points)
79. MOUZ NXT (16 points)
80. Sangal (15 points)
81. ENCE Academy (15 points)
82. ECLOT (15 points)
83. Sprout (15 points)
84. Rooster (15 points)
85. ex-sYnck (15 points)
86. ILIN (14 points)
87. Endpoint (14 points)
88. Rare Atom (14 poi","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-19 18:31:46.433999+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"#ECLOT eliminate #Sangal from the Shanghai Major after sweeping them 2-0.

ECLOT won Mirage 13-6.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 04:10:20.331000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
ECLOT,"#ECLOT take Anubis 13-10 over #Sangal.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 04:09:12.446000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"#Sangal take on #ECLOT in an elimination BO3.

Map 1 will be Anubis. Map 2 will be Mirage. The decider, if needed, will be Dust II.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 04:06:34.253000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"Dissertation Ã  crue du mansplaining microagresseur au cÅ“ur d'une escapade oÃ¹ les conceptions patriarcales se dÃ©chirent.

D'enfant rÃ©ifiÃ© par ses parents Ã   femme devenu catalyseur d'Ã©motion, Collias Ã©clot dans ces Catskills organiques et tentatrices.

#GoodOne",Joe - Le Fil d'Ariane,2024-11-18 10:14:03.901000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,N/A
ECLOT,"#Sinners defeat #ECLOT on Ancient 13-8.

Sinners improve to 2-1 while ECLOT fall to 1-2 and will face elimination.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 05:07:59.898000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
ECLOT,"#Sinners are taking on #ECLOT in a BO1 on Ancient.

Both teams have a 1-1 record. The loser will be one loss away from elimination.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-18 04:20:31.130000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"Not looking bad so far, disappointed in GL's loss to Eclot but after messing with the bracket I still think they can go through! BetBoom also looking like a solid bet as well, excited to see how the 1-1 games play out tonight.",Zeke,2024-11-17 22:37:58.832000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
ECLOT,"After a close game, #ECLOT pull back the win from #GamerLegion 13-11 on Inferno.

GamerLegion is now 0-2. 1 more loss will eliminate them.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-17 11:13:31.308000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
ECLOT,"#Falcons take down #ECLOT 16-13 on Anubis.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-17 07:40:13.247000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"S1mple laver live vanvidsplay med MP9â€™en og Falcons vinder fÃ¸rste kamp mod Eclot ğŸ˜®â€ğŸ’¨

Shaky start ğŸ˜³",Mikespike,2024-11-17 07:32:27.501000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"#Falcons (#24) take on #ECLOT (#45) for the fifth match of the PW Shanghai major EU RMR.

They will battle on Anubis.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-17 07:27:44.941000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
ECLOT,"RMR Shanghai Major ğŸ‡¨ğŸ‡³

Mine predictions for kvalifikationen i Europa gruppe A

ğŸŸï¸Navi
ğŸŸï¸Vitality
ğŸŸï¸Mouz
ğŸŸï¸Faze
ğŸŸï¸SAW
ğŸŸï¸Fnatic
ğŸŸï¸Cloud9

ğŸ«§: Falcons, Betboom, GamerLegion

ğŸ—‘ï¸Nemiga, Sangal, Sinners, Rebels, Eclot, Unity

Hvad er jeres tanker?

#MajorpÃ¥dansk #cspÃ¥dansk",Mikespike,2024-11-16 21:13:19.785000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
Fnatic,(Yes I know Fnatic isn't sponsored by Porsche but it looks cool),JewelBox Designs,2024-11-19 23:46:05.391000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
